id_proposal,title_proposal,votes,scores_total,selected_choice,forum_topic_id,polarity,subjectivity
0xa2ca8fdbac4c8279db3e641ffc60393aa2bcfdf832bd1734253e3db8c2c001de,"Magpie, Penpie, Radpie, Campie STIP Proposal - Round 1",17647,164216456.94803813,For,16648,0.19625310724030903,0.4819732039896826
0xa5cd3d931a2884bd6aa6763699b2c52c6bb5129eefb0d33d930491d6375294f0,Webacy STIP Proposal - Round 1,16579,115845652.45080511,Against,17121,0.20753067577350187,0.5463869959843204
0xa6b2e892cfe033bb400e42ceba6667e8d33a7a326214ba097fc8f16f843a1a54,Proposal: Empowering Early Contributors: The community Arbiter Proposal,44551,119181297.54989816,For,18557,0.17218826749105273,0.4033131643416989
0xaa70ce32349090c4a0732188cca3a4a52c4ad381fff6b85cebd1615d1147b41c,REALM STIP Proposal - Round 1,17154,136028016.3991407,For,17423,0.02470958239415807,0.5247853010620065
0xad923a4ff0ea227bd9e8693b64125a945ad27d7ccd8ae9e5ecf79b76f9b4a52a,Umami STIP Proposal - Round 1,16872,203941050.8221465,For,17203,0.2240695237854854,0.5447275018632137
0xb0156cfc112bbe4275b0a1d6cacc3970affdad6057047b8cee79ba54d45446aa,Proposal: Activate support for account abstraction endpoint on One and Nova,45999,60707784.514658876,For,14790,0.289789349256186,0.40746364070311775
0xb370d4093ca52b41e7f6f28562359174129b3e48949fc2e731e0eef77062f7db,Dopex STIP Proposal - Round 1,16896,200084458.04542208,For,16645,0.20253829969276932,0.5142635716253594
0xb387ad47abdbf95c2c3f285db3dd3ce8cf2bab4288250c813a38d3a89089303d,ALAYA STIP Proposal - Round 1,20982,117972215.52734403,Against,16720,0.10495447772197422,0.38548264144099814
0xb4be8b07d53cd5e865ee78543f9dff52241fdb22da4970fb5d637ba025cf2a61,Solv Protocol STIP Proposal - Round 1,17515,132360158.34953615,For,17236,0.20755621194396273,0.5731698776557648
0xb81842bee7514dc270a7ba1d57766ac99fcbf774d02745de335037247f5b97bf,RAMSES STIP Proposal - Round 1,16301,138047060.55757,For,16856,0.12019672581334624,0.4882091826118121
0xb8798bb81535a45813f55d07fcc030ac003a450b7b8177c16972cd37f60211bc,Jones DAO STIP Proposal - Round 1,28294,204106323.34049883,For,16941,0.06699940352832953,0.4649618186237245
0xb8fafe7e097e6620b6d236633029e1bf1327b3a4e3cafcb0d89892b84bde9d72,Balancer DAO STIP Proposal - Round 1,18181,156797347.00566658,For,16689,0.15910860885573472,0.4932622443619912
0xbc8a34dea05bdcc295b390228874d7ccd76c204d43dc745555cc84d7d5d06f8d,Election of Procurement Committee Members (ADPC),23346,155681111.45429763,Joseph [immutablelawyer],20536,0.22202706083147083,0.46634652665521714
0xbecc45a6beb55a708e25195f34db2f5ff757e0da5ff55171ca731b39428e27c3,AIP: Batch Poster Manager and Sequencer Inbox Finality Fix,26146,150956639.59262204,For,20995,0.15093477854991014,0.5001022996253259
0xbeeb43ae2c86bc38c06f9878070350c9b22e08ec79e906ce1b8704fea0cb1f24,Gains Network STIP Proposal - Round 1,16366,154545450.14152983,For,17422,0.13584562543001158,0.4453221698704077
0xc02a8620e55e38c2596f419df965d69701b395d8aeff492a3bced32e4c1d77cb,QiDao STIP Proposal - Round 1,18737,121478106.09903154,Abstain,16924,0.19729269008872188,0.555507831946161
0xc040de9c6a85dee5ca15de10691165bf5595245ffac922cbef61e45199522345,Proposal to Backfund Successful STIP Proposals,45352,195642628.31190002,For,19046,0.13102806978575385,0.48857469855411023
0xc591f79422bf26faf13055df098142569785c04316fdae5be993e282721eb717,Constitutional AIP - Security Council Improvement Proposal,34068,132578504.04158193,Increase the threshold to 9/12,20541,0.17626280076615333,0.4283295855906001
0xc99797495dabf5d69b46e583cf90e4bc2858eda07886f6bbbc2ddc40aa219869,Galxe STIP Proposal - Round 1,18555,191790520.3182786,For,17561,0.1844253323065823,0.4462294677544677
0xce4a31c915826aa857ab730d8b84e9c5bdd171e0c10f06b70cfffdadbf554b6c,Frax Finance STIP Proposal - Round 1,16449,184558050.3619027,For,16579,0.20082014982300642,0.4198388082005607
